,City,Date,Opponents,Stadium Name,State
108,TX,2016-08-04T20:10:00,Blue Jays,Minute Maid Park,Houston
109,TX,2016-08-05T20:10:00,Rangers,Minute Maid Park,Houston
110,TX,2016-08-06T19:10:00,Rangers,Minute Maid Park,Houston
111,TX,2016-08-07T14:10:00,Rangers,Minute Maid Park,Houston
112,MN,2016-08-08T20:10:00,Twins,Target Field,Minneapolis
113,MN,2016-08-09T20:10:00,Twins,Target Field,Minneapolis
114,MN,2016-08-10T20:10:00,Twins,Target Field,Minneapolis
115,MN,2016-08-11T19:10:00,Twins,Target Field,Minneapolis
116,MN,2016-08-11T13:10:00,Twins,Target Field,Minneapolis
117,ON,2016-08-12T19:07:00,Blue Jays,Rogers Centre,Toronto
118,ON,2016-08-13T13:07:00,Blue Jays,Rogers Centre,Toronto
119,ON,2016-08-14T13:07:00,Blue Jays,Rogers Centre,Toronto
120,TX,2016-08-16T20:10:00,Cardinals,Minute Maid Park,Houston
121,TX,2016-08-17T14:10:00,Cardinals,Minute Maid Park,Houston
122,MD,2016-08-18T19:05:00,Orioles,Oriole Park at Camden Yards,Baltimore
123,MD,2016-08-19T19:05:00,Orioles,Oriole Park at Camden Yards,Baltimore
124,MD,2016-08-20T19:05:00,Orioles,Oriole Park at Camden Yards,Baltimore
125,MD,2016-08-21T13:35:00,Orioles,Oriole Park at Camden Yards,Baltimore
126,PA,2016-08-22T19:05:00,Pirates,PNC Park,Pittsburgh
127,PA,2016-08-23T19:05:00,Pirates,PNC Park,Pittsburgh
128,PA,2016-08-24T12:35:00,Pirates,PNC Park,Pittsburgh
129,TX,2016-08-26T20:10:00,Rays,Minute Maid Park,Houston
130,TX,2016-08-27T19:10:00,Rays,Minute Maid Park,Houston
131,TX,2016-08-28T14:10:00,Rays,Minute Maid Park,Houston
132,TX,2016-08-29T20:10:00,Athletics,Minute Maid Park,Houston
133,TX,2016-08-30T20:10:00,Athletics,Minute Maid Park,Houston
134,TX,2016-08-31T14:10:00,Athletics,Minute Maid Park,Houston
135,TX,2016-09-02T20:05:00,Rangers,Globe Life Park in Arlington,Arlington
136,TX,2016-09-03T16:05:00,Rangers,Globe Life Park in Arlington,Arlington
137,TX,2016-09-04T15:05:00,Rangers,Globe Life Park in Arlington,Arlington
138,OH,2016-09-05T19:10:00,Indians,Progressive Field,Cleveland
139,OH,2016-09-06T19:10:00,Indians,Progressive Field,Cleveland
140,OH,2016-09-07T19:10:00,Indians,Progressive Field,Cleveland
141,OH,2016-09-08T12:10:00,Indians,Progressive Field,Cleveland
142,TX,2016-09-09T20:10:00,Cubs,Minute Maid Park,Houston
143,TX,2016-09-10T13:05:00,Cubs,Minute Maid Park,Houston
144,TX,2016-09-11T20:05:00,Cubs,Minute Maid Park,Houston
145,TX,2016-09-12T20:10:00,Rangers,Minute Maid Park,Houston
146,TX,2016-09-13T20:10:00,Rangers,Minute Maid Park,Houston
147,TX,2016-09-14T20:10:00,Rangers,Minute Maid Park,Houston
148,WA,2016-09-16T22:10:00,Mariners,Safeco Field,Seattle
149,WA,2016-09-17T21:10:00,Mariners,Safeco Field,Seattle
150,WA,2016-09-18T16:10:00,Mariners,Safeco Field,Seattle
151,CA,2016-09-19T22:05:00,Athletics,O.co Coliseum,Oakland
152,CA,2016-09-20T22:05:00,Athletics,O.co Coliseum,Oakland
153,CA,2016-09-21T15:35:00,Athletics,O.co Coliseum,Oakland
154,TX,2016-09-22T20:10:00,Angels,Minute Maid Park,Houston
155,TX,2016-09-23T20:10:00,Angels,Minute Maid Park,Houston
156,TX,2016-09-24T19:10:00,Angels,Minute Maid Park,Houston
157,TX,2016-09-25T14:10:00,Angels,Minute Maid Park,Houston
158,TX,2016-09-26T20:10:00,Mariners,Minute Maid Park,Houston
159,TX,2016-09-27T20:10:00,Mariners,Minute Maid Park,Houston
160,TX,2016-09-28T14:10:00,Mariners,Minute Maid Park,Houston
161,CA,2016-09-30T22:05:00,Angels,Angel Stadium of Anaheim,Anaheim
162,CA,2016-10-01T21:05:00,Angels,Angel Stadium of Anaheim,Anaheim
163,CA,2016-10-02T15:05:00,Angels,Angel Stadium of Anaheim,Anaheim
