,RK,Player,Team,,,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
30,28,"Pankake, J",DET,,605413,3B,5,3,2,2,0,0,1,3,0,0,0,0,.667,.667,1.667,2.333,0,0,0,0,5,1,0,0,1,0.00,7,3
31,28,"Reginatto, L",TB,,553891,SS,6,6,2,4,0,0,1,2,0,2,0,0,.667,.667,1.167,1.833,0,0,0,0,7,1,0,0,0,-.--,13,6
32,28,"Robertson, D",TB,,621002,SS,6,6,4,4,0,0,2,5,1,1,0,0,.667,.778,1.667,2.444,0,2,0,0,10,2,0,1,0,*.**,16,9
33,28,"Swisher, N",CLE,,430897,1B,1,3,0,2,0,0,0,1,0,1,0,0,.667,.667,.667,1.333,0,0,0,0,2,0,0,0,0,-.--,5,3
34,35,"Baldoquin, R",LAA,,660168,SS,4,5,2,3,1,0,1,2,0,1,1,0,.600,.600,1.400,2.000,0,0,0,0,7,2,0,0,1,0.00,12,5
35,35,"Davis, G",BAL,,607974,CF,6,5,0,3,0,0,0,0,0,1,0,1,.600,.600,.600,1.200,0,0,0,0,3,0,0,1,0,*.**,7,5
36,35,"Sportman, J",OAK,,656996,OF,7,5,3,3,1,0,2,3,1,0,0,0,.600,.714,2.000,2.714,0,1,0,0,10,3,0,1,1,1.00,18,7
37,38,"Coats, J",CWS,,605183,RF,6,7,1,4,2,0,0,0,0,0,0,0,.571,.571,.857,1.429,0,0,0,0,6,2,0,3,0,*.**,14,7
38,38,"Rickard, J",TB,,572073,CF,6,7,2,4,0,0,0,1,0,1,0,0,.571,.571,.571,1.143,0,0,0,0,4,0,0,2,0,*.**,9,7
39,40,"Abreu, J",CWS,,547989,1B,19,59,10,30,5,1,1,8,1,7,0,0,.508,.516,.678,1.194,0,1,0,1,40,7,2,18,7,2.57,130,62
40,41,"Caballero, L",SEA,,593392,3B,1,2,1,1,1,0,0,1,0,0,0,0,.500,.500,1.000,1.500,0,0,0,0,2,1,0,0,1,0.00,2,2
41,41,"Cardona, J",TEX,,606580,OF,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0,0,0,0,1,0,0,0,1,0.00,4,2
42,41,"Cogswell, B",OAK,,656315,SS,4,2,2,1,1,0,0,0,1,1,0,0,.500,.667,1.000,1.667,0,0,0,0,2,1,0,0,0,-.--,9,3
43,41,"Cowart, K",LAA,,592230,3B,2,2,1,1,0,1,0,1,0,1,0,0,.500,.500,1.500,2.000,0,0,0,0,3,1,0,0,0,-.--,6,2
